branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,l1d_pend_miss.l2_stall,l2_rqsts.swpf_miss,CPI
3720780,3693384,2106,104680,377,584962,1038419,62050770,35744,300524,236969,70754370,35350,9158,895242,289202,6381,19512,0,1.63
3485460,3495389,1268,112061,288,647550,1031254,59066302,29713,276242,234198,72274126,35016,9339,795105,244600,6111,17335,0,1.77
3566957,3545702,2202,86107,271,583855,960805,55713880,28087,246064,206181,66283608,34012,10113,786508,243768,7159,17705,0,1.71
3444156,3463424,1398,99263,293,539769,910316,54858728,27634,255808,213502,67007982,38205,11929,769168,243718,8618,20837,0,1.76
3267071,3239320,573,109355,431,629060,965398,56697548,32234,251056,210999,64046880,32141,10136,792454,250420,7427,19015,0,1.74
3248281,3249233,1377,100139,502,595991,924145,53579196,28777,250342,209630,63096085,34027,9012,776688,256353,6286,40264,0,1.75
3483339,3501786,1413,83206,309,5911988,2094121,52114471,47649,245054,203142,63789105,34542,9689,752303,233775,6870,18809,0,1.74
3393266,3404440,1075,100615,393,1051756,1505772,56321176,160544,526414,286389,71113707,43134,10128,852039,258572,7161,24056,0,1.74
3777300,3783351,1515,99831,418,667766,1054190,58032183,27291,248652,202604,63602422,32284,8335,767230,244393,6068,15325,0,1.68
3504097,3521323,1364,98978,359,705041,1015205,54951451,31783,260292,225338,65737614,31253,7079,846396,266979,5212,17983,0,1.64
3290046,3307363,916,119188,389,657175,983747,59186267,26699,248014,202323,62061504,31784,8741,790933,248892,7161,16600,0,1.71
3070176,3067421,1042,108144,368,720389,883677,58076661,28359,277308,243818,66278021,33333,7506,857801,268217,6466,28404,0,1.72
3090079,3107132,1723,100128,384,587302,992892,63339426,31694,257094,210488,60604133,36775,7066,757377,234142,6728,18494,0,1.74
3430520,3418098,1578,109823,393,632880,1054454,53692556,32491,286430,251734,68489319,37964,7556,841991,249592,7714,19620,0,1.76
3262978,3286338,1448,100601,410,683762,1029056,57932901,27735,259180,214532,61825151,33966,6445,800552,246568,6548,20821,0,1.71
3454550,3464042,1037,118885,364,724722,1063563,58908173,30196,287643,243297,67921889,36977,6890,884281,273264,6498,21723,0,1.59
3256772,3280881,979,98809,372,785671,1015807,57905981,33874,281154,239957,67693729,31351,6255,818332,254509,6848,18405,0,1.74
2988029,3014504,1566,102175,405,632821,955856,55831680,31578,267575,231772,64027824,34235,6367,826934,256082,7091,19303,0,1.72
3329562,3346322,1348,118243,410,806472,1044120,55264520,34906,260083,209064,61971424,41114,6825,833519,244774,6748,19120,0,1.72
3228651,3253715,1319,100669,330,768398,975563,58410555,29805,284051,228075,59635503,31707,6688,756489,241156,6461,17629,0,1.76
3339184,3357412,1804,92773,443,711679,975593,52746177,25025,267085,229453,58620837,32213,6976,661472,199134,6480,19062,0,1.76
3325682,3374380,1147,103485,418,640224,959772,49261978,27468,223154,179370,52894559,29251,5477,727606,241844,6738,19180,0,1.67
3310604,3318876,1473,103749,301,558219,996278,55317594,30213,248151,213757,61978514,28762,5633,760915,251455,6215,21026,0,1.69
3397579,3347280,1679,99531,318,532176,903571,57374837,27405,262522,229594,67951459,34517,6907,776790,245122,6010,18956,0,1.65
3222588,3242258,1989,97243,381,656298,971347,60436593,28331,274775,230856,64556623,30967,5519,759048,237062,5400,17789,0,1.79
3363247,3379254,1889,94246,318,644983,957605,52836307,28157,270853,230930,61673204,30595,5535,721281,222082,5625,12409,0,1.75
3286712,3304354,1417,90115,514,601307,981571,59328908,36401,268674,226184,60043174,31641,5004,702355,220362,4922,14938,0,1.82
3029138,3066481,1759,98732,376,583825,1018629,57848245,30953,271601,230497,54608479,30294,5043,719047,240965,6352,18131,0,1.76
3316093,3303659,1743,107910,380,624013,1082443,64546217,29371,274300,236071,53715011,28754,4822,688443,211481,3867,16305,0,1.67
2891144,2910631,1557,110058,443,656593,988685,60870244,29793,279263,243337,60580960,31486,4094,723221,212976,3983,19758,0,1.65
3235727,3247221,1951,106020,506,551603,1046727,61436382,32634,284546,254738,66272293,30061,4421,810631,235691,3727,19352,0,1.67
3026105,3049317,1364,106197,531,588427,1047656,59593573,27209,266530,238123,57694930,27334,5089,693160,207908,3578,18723,0,1.81
3071612,3095480,1490,107253,477,549008,993468,58890253,26450,257634,228047,55392266,28968,4847,690787,208982,4520,11853,0,1.72
3254979,3251388,2150,99938,409,609690,943432,69327172,42167,289442,238102,60954340,28217,5127,749423,227385,5847,16615,0,1.64
3376231,3386145,1632,112095,514,520069,1033682,64064703,29255,297961,247509,74591806,35267,4698,799594,238888,3857,18614,0,1.69
3134116,3163706,1624,95247,707,565376,923343,60101972,30151,277697,241439,56440791,31547,4491,676689,200975,4138,18685,0,1.65
3336706,3361509,1842,96510,385,636329,919128,60283708,26819,261000,231640,58382400,36592,5022,763967,231050,4799,20456,0,1.66
3311507,3294744,1503,99082,443,598987,978794,53817099,25088,252164,222151,52053078,29666,4690,738966,221595,4734,17808,0,1.61
3228573,3268348,1494,91729,732,688108,970915,53524136,30439,245720,202959,48008824,28610,4324,641489,189657,5021,16987,0,1.67
3445467,3467840,1553,93767,372,650791,1019337,55012531,29795,244351,209927,47792295,27213,4803,662500,192959,4473,27877,0,1.66
3109183,3148621,1804,94933,418,616223,1026455,60179759,26238,272633,243155,51849684,28993,4625,722203,194507,4476,16843,0,1.77
3023524,2968087,1490,83438,544,621849,867146,61283961,23670,245082,223786,54912396,29760,4376,680199,189428,3997,17375,0,1.78
3049813,3076070,1699,79997,715,571884,896653,55785299,29216,223551,193101,48086940,27411,4707,744449,228197,3996,15010,0,1.77
3215017,3183772,1741,85175,372,575490,855284,49126166,25435,247955,217254,49484653,30879,5316,640197,180754,4404,14342,0,1.77
3080503,3071939,1380,86171,422,525471,941281,51769691,25882,241368,217217,50852057,26694,5404,641549,189217,3022,18932,0,1.73
3200143,3213526,1673,106279,393,631043,951144,55514698,28958,263536,231732,54711552,27827,4206,623520,172794,2570,28939,0,1.73
3034816,3058929,1489,90162,447,648395,926214,59583309,26283,267172,238398,54514667,33408,4694,669172,183457,2891,15355,0,1.73
3133207,3092323,1536,98785,355,462903,964700,73816358,33171,289420,240881,62869723,29695,5623,716743,196857,2796,19474,0,1.71
3176817,3169705,1913,94825,389,514383,898409,50447793,32462,254457,225890,58465720,32397,4787,720738,198359,2441,10895,0,1.88
3064180,2995193,2050,91633,422,550947,846598,57332705,26179,240129,210593,51434637,27534,4995,636744,181124,2685,20557,0,1.68
2938290,2975139,1209,102636,439,695232,925889,52305609,25376,260850,245339,60981592,31984,4749,673295,184776,2275,16427,0,1.83
3060546,3072953,1515,107267,372,461171,938628,60664022,29246,262418,235324,56987694,27011,5400,694438,200291,2692,29865,0,1.78
2942587,2984331,1360,96202,376,581835,960363,70857888,28602,277135,249206,63509006,32991,4475,727686,203561,2648,14656,0,1.73
3181909,3171836,1422,103381,460,552466,904901,52135326,25995,256620,255307,59508488,30259,4716,791754,227878,3294,16273,0,1.68
2986376,3007722,1884,108328,288,437146,1061443,70085252,30905,310046,270531,61062341,28595,4474,715386,203746,2254,15389,0,1.7
3124253,3112968,1799,98035,347,383120,949340,62413048,28565,294330,264922,59857579,31329,5333,738723,213004,2636,22577,0,1.73
3000643,2997836,1485,101517,376,597296,1015364,60150406,28496,257515,234000,58750038,31594,4358,760394,222461,2289,14746,0,1.69
3200772,3208357,1796,107782,280,514847,981244,61416035,29729,304116,269963,64676872,30369,4171,713827,199552,2254,18593,0,1.73
2952906,3004712,1335,97989,313,672771,971083,56988305,26646,280352,242603,60414609,28703,4001,692133,198531,1139,14846,0,1.81
3134387,3083257,1598,102980,309,546193,1033193,69887126,29622,269028,235910,60331983,30202,4038,704601,201142,1350,19295,0,1.74
3060575,3097501,1624,108464,372,672653,1098142,63512510,29019,275010,240156,56049256,28523,4871,686295,189587,1115,19501,0,1.84
3006196,3046396,1364,90200,339,590128,1011223,60140098,28429,291551,256063,57172174,34312,4456,669328,172151,1234,17040,0,1.79
3244384,3225042,2007,107636,301,367967,1054086,70213416,29013,281521,248328,61697365,31026,4656,751707,207313,884,16725,0,1.75
3060270,3078817,2005,104133,418,471415,990732,58101384,30293,278943,249065,56223399,29461,4302,714601,202524,1440,16087,0,1.79
3038840,3036381,1130,104378,464,540076,1059712,61660865,33242,276886,243736,58475730,31510,4695,696059,191439,1247,19429,0,1.7
3057646,3100300,1829,101854,326,511637,1047210,61067004,29615,285723,248748,57899563,31499,4277,650865,174020,1120,17484,0,1.77
3100451,3133439,1507,100657,305,692341,1023126,66096486,33941,284022,253655,61555706,32675,4587,712369,193572,1138,17995,0,1.75
2958159,3020580,1716,101624,309,633881,1023420,59831762,27887,289908,256525,59998678,32583,3836,727274,181872,1020,18159,0,1.84
3133166,3173674,1633,105449,360,541145,1043842,58619091,26526,251852,223076,49554964,29618,4561,658178,172042,1226,19907,0,1.79
3113166,3143584,1305,90727,305,579397,1011109,57886081,27690,264938,232730,56723120,29369,3860,655652,179733,1080,16586,0,1.77
3080026,3157124,1737,103200,803,557986,1048798,57775973,28680,264410,233527,55060237,28963,4126,670059,187456,917,20572,0,1.72
3244771,3303078,2139,107776,301,518346,1038884,62180375,27258,273510,243852,55815142,27609,4572,705874,192593,1149,19220,0,1.75
3314118,3340544,1540,98879,301,440306,970299,68118461,28277,263504,229799,54721535,26431,4657,699059,195246,938,17705,0,1.72
3236288,3269028,1645,97196,347,515916,964601,54740353,26402,268204,241800,60690494,30251,4162,700587,179823,1099,17265,0,1.79
3005857,3038763,1783,126140,376,593912,1013613,60663997,27101,278433,238194,54782007,25978,4128,637795,175559,1095,18725,0,1.78
3103844,3071271,1800,105134,355,688946,1041296,62162241,26932,273594,252087,61522053,29926,4330,636944,169980,874,17599,0,1.82
2899086,2919077,913,93367,603,595685,867148,56610010,27835,267644,241584,55641964,29285,4647,721700,198909,883,19082,0,1.91
3025531,3074341,1290,81135,326,552777,850048,51959353,29250,235814,200325,50238808,29444,4004,657341,183894,711,18377,0,1.89
3180342,3185642,1184,95788,347,501378,934534,57701234,29146,253806,218174,48874414,26907,3887,630968,173152,791,23695,0,1.94
3141767,3169095,1461,89960,318,508427,914611,56798274,24700,250437,226294,56804608,27576,4224,665481,182355,574,22772,0,1.89
3062414,3073097,1515,91453,292,592771,944361,60237120,25119,293837,261836,61400160,30241,3238,655397,171467,452,20872,0,1.97
3236885,3242777,1678,112765,318,610655,1093999,63503620,28738,296128,256859,64251992,28643,4601,682071,180104,614,17574,0,1.79
3215166,3212863,1205,107750,364,633395,1099476,85581600,32994,272699,231894,65781258,27528,3936,708866,198786,294,16679,0,1.75
3099954,3047935,1531,101153,389,611587,1041158,66277021,27305,290642,261980,63039434,31013,3489,740096,191019,599,20218,0,1.77
3107354,3127205,1666,103929,397,639645,1030671,62115097,25670,272621,243410,56768822,28532,4262,725805,194172,540,18093,0,1.78
3056075,3028532,1272,94463,451,607829,1104999,70024990,30770,267081,233561,58394289,28095,3697,750928,217576,501,17912,0,1.73
3294049,3265512,1439,102591,359,535217,1055771,63473696,26954,302289,259542,62016736,47176,3753,732671,197550,585,17027,0,1.8
3335235,3345660,1536,108523,309,580285,1004568,66449444,27120,291497,266927,64708620,28826,4054,775468,215885,515,16349,0,1.72
3408183,3408141,1874,97189,359,572366,947367,62649482,26268,270958,239277,63447258,25702,3922,725706,204012,358,19513,0,1.76
3252007,3263516,1669,99345,443,565095,1039695,63777783,26071,255193,222179,60897213,30387,3986,726475,198210,471,14501,0,1.8
3009813,3007885,1795,87146,359,554215,877497,71348114,40357,240556,197447,62830277,23330,3339,607174,161044,457,16698,0,1.85
2918747,2924379,1109,87415,364,653911,896275,56526451,27220,256864,227911,61749219,27659,3660,699726,166417,304,14368,0,2.02
2611266,2656359,1845,92452,335,502290,898545,61171730,31593,283624,270849,68693770,33703,4037,729003,178782,216,17167,0,1.9
2802435,2819289,1310,88792,460,565969,908781,65175686,27141,254322,222832,51066246,27059,3511,552167,135362,446,14459,0,1.95
2817020,2830294,2230,103764,368,450050,983018,63484499,28431,260774,235553,54187622,27595,3465,692144,171075,422,13072,0,1.97
2817314,2814078,1887,88694,573,416044,896422,60691896,27609,268248,243913,63588961,27596,4413,719998,184594,358,18587,0,1.9
2792353,2805904,1824,95404,297,644644,969335,63488932,29562,280510,242086,59224004,27150,3132,663102,173386,427,12814,0,1.57
2926185,2947964,1410,94496,335,623007,901504,60815680,36929,264664,215822,52525812,33661,3373,638632,176111,397,15489,0,1.88
3091714,3148524,1795,101292,402,572841,1120995,65603998,29665,278117,240116,63646675,28924,3761,782988,219749,318,17903,0,1.84
3030308,3067417,1816,112991,376,527319,1136293,73118404,28940,292810,261195,68990682,31996,4695,909035,240714,397,16882,0,1.81
2918440,2949586,1480,101977,510,671482,977107,64998286,28808,279417,252806,58635038,27541,3721,681768,174776,452,16822,0,1.88
3007325,3017466,1456,81773,406,661211,906163,55284043,24101,246162,224629,45441134,28471,3742,679674,174186,441,13726,0,1.92
2940647,2960326,1903,93821,426,434347,963600,59438998,28171,270842,237783,57294774,28187,3892,662560,181599,579,13886,0,1.87
3070474,3105089,1427,80958,343,529919,887745,64577271,27252,249094,209735,53450208,27753,4269,663688,175576,348,15575,0,1.88
3010238,3046597,1674,91866,385,625863,976984,63606393,28405,259896,220944,54870844,28249,3428,576775,147168,407,16961,0,1.85
2944062,2940732,2088,83186,364,530303,947626,61350382,29675,254750,223380,55985854,25385,3378,592707,158043,451,16746,0,1.88
3066522,3072393,1770,89261,351,609288,928270,66218200,29745,246920,217717,59768728,28398,4151,723233,200862,569,16365,0,1.81
3356990,3345422,1950,94397,368,523678,935228,58758198,26677,251780,220607,57782360,30945,3284,726319,201177,462,20571,0,1.88
3053609,3076553,1640,87864,443,661179,975328,55136977,29473,284862,257186,63710856,27144,3301,787029,196427,431,19612,0,1.88
3015943,3032113,1539,86367,326,602703,927451,62406456,28100,262111,223098,56765606,28607,3740,639406,169655,371,16301,0,1.99
2826002,2863800,1314,81214,343,557384,920643,59881391,26141,256583,221215,51979789,27452,3352,569887,132811,226,15024,0,2.02
2819411,2829883,1348,82566,339,504014,875976,59692947,25647,245767,219196,54837072,23423,3803,635156,162873,301,17934,0,2.07
3078731,3070755,1109,79552,414,496503,789408,55205016,26697,225328,184163,52655579,27921,4509,606859,172820,763,16975,0,1.99
3266056,3242245,1741,86512,322,461672,897515,55324124,24369,206221,185561,44090015,24859,3372,612575,163586,361,16401,0,1.98
2816086,2848513,1495,89083,376,647016,994737,64371415,29165,269016,252219,68568681,29510,4377,712855,174175,497,23585,0,1.9
3275625,3311680,1784,96001,364,539805,1036704,69034417,30576,282558,246718,67450508,30745,4096,734544,194687,653,15088,0,1.78
3189347,3175046,1883,91630,351,628591,955761,70977324,29420,255363,227457,60567216,27647,3585,664186,183273,587,18576,0,1.89
2974814,3026344,1339,79940,380,545327,843527,66753583,29703,263330,248511,70072040,31591,3700,775934,197362,305,18205,0,1.86
3209881,3212757,1782,107573,364,553503,1088749,75581280,31732,272988,228267,52408978,31743,3943,675990,176549,346,18244,0,1.83
3193537,3203191,1761,96033,464,584420,1002768,68060826,30774,273326,234267,57474340,31253,3886,683221,183513,346,16569,0,1.9
3241769,3206875,2378,92325,347,472981,982300,74026580,26007,243211,212171,61215091,24288,4089,709162,189389,457,18072,0,1.82
1810030,1970431,3203,121194,596,699716,1160035,91614959,37719,323302,274670,85070085,56241,11014,930625,294472,5063,17582,0,1.36
3288541,3254111,2744,110428,610,691888,1103522,90865665,31929,324150,281188,83127238,44894,6926,912494,266044,2224,19474,0,1.7
3402360,3453927,1674,122797,401,557728,1172603,81712989,31699,311009,270275,81092353,31772,4082,809125,225774,653,20387,0,1.79
3356109,3355636,1662,116936,381,517905,1153516,77064422,38206,314988,263028,71690469,35138,5388,719088,219833,6948,16509,0,1.88
3008833,2979711,1234,93591,443,633533,958842,73209303,25653,301083,270763,64414551,23437,6482,742357,190668,1234,22149,0,1.91
3329080,3287103,1355,93069,364,600621,906117,64816430,29249,245021,207988,55357475,31475,3522,667502,182325,582,17554,0,1.87
3370081,3296701,1393,92785,372,711124,959428,75213056,30912,256596,222757,66611080,30921,4908,865202,250025,808,25916,0,1.81
3271985,3233168,1469,119291,393,484483,1023206,84412775,29522,295069,268476,74369033,28961,4446,867057,235019,552,21188,0,1.8
3198263,3140544,1506,117011,506,476350,1121830,88091012,32504,315113,296296,75745459,33575,4730,945139,241486,532,20342,0,1.76
3072833,3031387,1464,104504,476,536147,1066691,81782389,57977,344995,283819,94200113,34503,4952,900076,251550,1129,19943,0,1.83
3107491,3064242,1338,109261,405,495826,966007,78339244,36266,322805,295585,76625695,30634,4795,847702,231251,562,17219,0,1.86
3119097,3102767,1393,119224,414,560511,1014713,88045500,30410,300004,266422,72043730,29079,4476,845084,224478,602,22201,0,1.86
3139871,3145302,1561,100118,833,581009,970060,86694938,36275,304639,283163,70000044,43175,4322,850195,231056,1801,17659,0,1.64
3059734,3060322,2021,111186,389,475275,1124643,87871462,43701,310560,262604,75116479,40734,6048,847132,238308,1768,17808,0,1.8
3051049,3077536,1410,96846,426,809070,912778,63775002,36209,214064,183252,72064967,33281,4730,803837,218513,452,20261,0,1.95
3226283,3244129,1397,99003,381,743233,1022888,72969341,36168,263061,218906,62458746,29678,4237,720589,197454,537,17952,0,1.86
3215271,3210245,1544,117103,443,621337,1068779,79168984,44845,305330,256601,85318141,30994,5069,927383,257406,995,18573,0,1.8
3191844,3186082,1384,110785,405,591509,1061925,79737997,33330,281401,243123,71252058,30404,5285,837390,237265,1089,24603,0,1.88
3147570,3151965,1393,103000,372,509312,954599,79544811,27534,257868,225090,68727843,30206,5161,808902,239323,753,17771,0,1.87
3101061,3026572,924,114565,317,530003,1035319,94783743,32653,307592,267291,68398873,27105,4293,803660,226367,853,24727,0,1.87
3028543,3044668,1422,101045,431,765853,958117,92078176,69494,324080,252219,85889882,38009,4659,809180,223004,1316,22347,0,1.81
3185781,3205855,1272,105372,481,1407366,1110315,86208237,59921,297270,224307,69999930,36024,4644,732988,210983,748,16498,0,1.89
3020675,3053316,1536,99952,326,625387,998077,76342814,45838,301329,240788,72514794,35278,4704,745185,213211,783,20487,0,1.8
3137891,3134362,1239,98478,326,749398,989073,69782077,46954,323707,259485,77230198,36096,4427,767970,216907,784,18744,0,1.87
3083738,3117533,1473,93869,267,926270,1081117,80665704,50652,353766,285526,84380909,39369,5224,834436,230567,733,19626,0,1.87
3087294,3113719,1716,101386,351,1043678,995441,72835563,42943,293201,239762,73208827,34868,4296,818439,233037,738,20547,0,1.82
2909998,2960877,1067,105397,384,1119932,1052242,73972586,47393,309127,254338,75142763,34334,4961,873389,247765,1296,21331,0,1.8
3237614,3231539,1623,108704,318,1381050,1057702,83699741,66129,326378,258008,83585292,35471,6185,869999,243913,909,24702,0,1.83
3224495,3201492,1331,100427,271,1219783,1004389,82570323,62000,296397,225505,77737043,31319,4369,804731,232620,713,19358,0,1.86
3237706,3245288,1506,96769,326,1402319,1103757,95210209,56533,323211,260666,81931270,32479,4490,845924,231612,964,23397,0,1.85
3037099,3004119,1724,88114,288,1408862,980603,76513620,61806,288204,218119,71620021,35969,5094,811746,220322,723,21590,0,1.82
3382604,3358252,1663,117942,343,1331481,1190561,92541684,72988,362477,270445,91387819,38610,5539,881689,250652,532,21631,0,1.76
3173088,3182960,2125,117435,406,1444611,1222603,103926467,73008,367129,285957,93515246,35647,4397,958042,262773,1060,20306,0,1.78
3072941,3058282,1358,112482,372,1285182,1083571,92814608,58101,324736,258530,83902014,31922,5219,837942,244028,884,23787,0,1.77
3213565,3200276,1462,104957,312,1301306,882635,87108655,55390,323180,268349,82539863,35069,5170,836328,236874,605,22335,0,1.86
3271159,3249456,1492,121767,472,788552,1018295,95792674,45014,289454,242861,80836515,32584,4444,821908,231649,964,17127,0,1.8
3201815,3166214,1585,108970,393,762326,950563,84688319,43280,283128,250584,77024062,33492,3944,824001,226653,472,16232,0,1.82
3195559,3167594,1604,120896,338,618419,989431,83233419,47782,292583,250502,71721853,28909,3919,854298,238845,819,19913,0,1.86
3047441,3031948,1672,117438,360,667351,1083862,93077961,45778,326146,273708,78183160,30691,4868,865940,241585,1030,15527,0,1.9
3032408,3005374,1793,102673,460,579865,948916,82970682,45413,276970,217150,70255394,31143,4369,773613,218721,713,16792,0,1.89
3301697,3220090,1860,107940,468,520374,988620,93416137,50990,315324,266018,84838606,32968,3685,799620,220432,698,18490,0,1.77
2868786,2899233,1514,128625,540,748786,1003432,107744634,60352,341152,277787,85830514,29495,4711,931314,257231,1743,20896,0,1.85
3095970,3031902,1204,117486,389,625695,1019879,89927081,48009,333012,272855,85054931,31920,4140,872305,241028,869,19181,0,1.87
3149287,3115732,1420,117207,414,680806,1119648,92601554,47357,322576,260632,81619386,28278,3975,838085,225575,1200,20834,0,1.86
3077810,3072270,1613,105905,571,729624,973960,89999356,52682,323531,254560,76434928,29534,4352,801106,218014,889,19180,0,1.84
3218938,3176352,1289,114396,492,690657,1078746,88897495,46845,325190,260810,82316232,29000,3968,762368,208943,592,20924,0,1.83
3416238,3408756,1501,116945,1317,694908,995450,86570409,45838,315952,259222,81381734,28170,4114,823082,223886,768,18936,0,1.8
3209155,3230604,1337,119994,438,754020,918792,81289327,45717,309574,257813,82017723,29594,4428,851623,230461,763,22049,0,1.86
3319889,3307882,1706,123783,1169,741144,1024112,76502820,44871,319217,269922,88751665,29126,4692,885945,249128,1281,22394,0,1.89
3142492,3150295,1524,113567,520,620509,1041541,88164223,46174,339279,270875,83705267,29010,5039,922338,261661,949,20893,0,1.83
2967870,2980985,1399,106859,525,710444,960050,74323174,49784,313957,254983,78852657,29457,5458,776572,215228,773,14043,0,1.89
3068036,3038107,1541,110354,528,589181,922917,73344114,44629,295914,243666,76910122,33596,5672,904620,265227,1462,16087,0,1.84
